cp,date,fifty_median,hundred_median,pb,pb_percentile,pe,pe_percentile
28309.76,2021/6/22,28716.493599999998,28977.17329999999,1.6067984768490808,97.49383730484799,21.482298265617644,97.04190632703369
28489.0,2021/6/21,28724.2744,28988.554199999995,1.6034513398944368,97.37058340180772,21.555660884045768,97.24732949876746
28801.27,2021/6/18,28734.655800000004,29002.9418,1.6458922993179683,98.9317995069844,22.189733437454077,98.19227608874282
28558.59,2021/6/17,28732.126400000005,29014.5538,1.667251130205846,99.05505341002466,22.24176263884546,98.27444535743632
28436.84,2021/6/16,28739.729400000004,29025.3907,1.6729431251199118,99.05505341002466,22.02295331673706,97.98685291700905
28638.53,2021/6/15,28738.559600000004,29029.649999999994,1.6780029402469443,99.13722267871815,22.634970938762677,98.76746096959737
28842.13,2021/6/11,28737.339000000004,29029.0033,1.693935163384272,99.34264585045193,22.68943241080592,98.84963023829089
28738.88,2021/6/10,28727.262400000003,29025.550599999995,1.6893684063603591,99.26047658175844,22.489740346647373,98.68529170090386
28742.63,2021/6/9,28719.2134,29020.5178,1.6921132024313936,99.26047658175844,22.316062883184514,98.47986852917008
28781.38,2021/6/8,28702.353,29015.859,1.6978058284392634,99.34264585045193,22.62505155261477,98.80854560394413
28787.28,2021/6/7,28685.0882,29007.1274,1.6948013127151191,99.30156121610516,22.606897728600373,98.80854560394413
28918.1,2021/6/4,28679.2902,28998.036800000005,1.5144468176573067,87.09942481511915,21.649066764679475,97.69926047658177
28966.03,2021/6/3,28678.635,28984.341,1.5161956015114149,87.38701725554644,21.76054496635136,97.82251437962202
29297.62,2021/6/2,28679.1332,28971.60370000001,1.5126980338031992,86.72966310599838,21.916614448691988,98.11010682004931
29468.0,2021/6/1,28681.2952,28955.1261,1.5109492499490915,86.38044371405094,22.075050001527075,98.35661462612984
29151.8,2021/5/31,28672.6176,28935.1742,1.5109492499490915,86.35990139687756,21.98350136969512,98.27444535743632
29124.41,2021/5/28,28670.1354,28915.967499999984,1.5369423490282148,90.20131470829912,21.16735880080639,97.28841413311424
29113.2,2021/5/27,28664.3224,28896.1945,1.5439363983980814,91.24897288414137,21.78458881729645,97.98685291700905
29166.01,2021/5/26,28656.8528,28870.7474,1.5684155711926149,93.83730484798686,21.348897040950526,97.57600657354149
28910.86,2021/5/25,28661.244800000004,28842.2336,1.5509304477679482,92.07066557107643,20.949512912633427,97.32949876746098
28412.26,2021/5/24,28661.178000000004,28816.9906,1.5421878860556146,91.0846343467543,21.80411698741833,98.0279375513558
28458.44,2021/5/21,28668.3974,28796.299,1.5334453243432813,89.58504519309778,21.648054800391808,97.94576828266227
28450.29,2021/5/20,28670.0452,28772.9071,1.5369423490282148,90.13968775677894,21.40455800383115,97.74034511092852
28593.81,2021/5/18,28683.005200000003,28751.471,1.545684910740548,91.22843056696794,21.83499701304896,98.06902218570256
28194.09,2021/5/17,28695.864800000014,28730.518900000014,1.5299482996583478,89.11257189811009,21.287165546771746,97.658175842235
28027.57,2021/5/14,28729.5914,28715.3618,1.5334453243432813,89.52341824157764,21.326296365791546,97.74034511092852
27718.67,2021/5/13,28750.9572,28699.689,1.5281997873158812,88.86606409202957,19.311059186271788,95.97370583401808
28231.04,2021/5/12,28785.635200000004,28684.5752,1.5386908613706811,90.304026294166,19.408886233821296,96.07641741988495
28013.81,2021/5/11,28800.6186,28666.16,1.5404393737131483,90.55053410024652,19.17410131970249,95.64502875924404
28595.66,2021/5/10,28841.825799999995,28651.0806,1.5596730094802815,92.76910435497123,19.076274272152983,95.5012325390304
