date,roe
2019-12-18,3.2139
2019-12-17,3.2133
2019-12-16,3.1854
2019-12-13,3.1828
2019-12-12,3.1652
2019-12-11,3.1702
2019-12-10,3.1776
2019-12-09,3.1903
2019-12-06,3.1751
2019-12-05,3.1776
2019-12-04,3.1751
2019-12-03,3.1746
2019-12-02,3.2062
2019-11-29,3.165
2019-11-28,3.165
2019-11-27,3.17
2019-11-26,3.1675
2019-11-25,3.1875
2019-11-22,3.1747
2019-11-21,3.1749
2019-11-20,3.1747
2019-11-19,3.1743
2019-11-18,3.1993
2019-11-15,3.2355
2019-11-14,3.2555
2019-11-13,3.237
2019-11-12,3.255
2019-11-11,3.2463
2019-11-08,3.2765
2019-11-07,3.2736
2019-11-06,3.2555
2019-11-05,3.2454
2019-11-04,3.2954
2019-11-01,3.2757
2019-10-31,3.288
2019-10-30,3.3125
2019-10-29,3.3029
2019-10-28,3.2924
2019-10-25,3.2372
2019-10-24,3.2196
2019-10-23,3.2122
2019-10-22,3.2196
2019-10-21,3.2196
2019-10-18,3.187
2019-10-17,3.1569
2019-10-16,3.1693
2019-10-15,3.1668
2019-10-14,3.1641
2019-10-12,3.1716
2019-10-11,3.1564
2019-10-10,3.1289
2019-10-09,3.1089
2019-10-08,3.1063
2019-09-30,3.1411
2019-09-29,3.1434
2019-09-27,3.1482
2019-09-26,3.1381
2019-09-25,3.1157
2019-09-24,3.1205
2019-09-23,3.1005
2019-09-20,3.098
2019-09-19,3.1053
2019-09-18,3.1278
2019-09-17,3.1076
2019-09-16,3.0926
2019-09-12,3.0876
2019-09-11,3.0525
2019-09-10,3.0425
2019-09-09,3.025
2019-09-06,3.0173
2019-09-05,3.0173
2019-09-04,3.0473
2019-09-03,3.0624
2019-09-02,3.0723
2019-08-30,3.0573
2019-08-29,3.0321
2019-08-28,3.052
2019-08-27,3.052
2019-08-26,3.0494
2019-08-23,3.0644
2019-08-22,3.0543
2019-08-21,3.0567
2019-08-20,3.0317
2019-08-19,3.0191
2019-08-16,3.0217
2019-08-15,3.0115
2019-08-14,3.0105
2019-08-13,3.0041
2019-08-12,3.0391
2019-08-09,3.0216
2019-08-08,3.0465
2019-08-07,3.0514
2019-08-06,3.0613
2019-08-05,3.0563
2019-08-02,3.0914
2019-08-01,3.1487
2019-07-31,3.1552
